I_1 / A	&F / Vs
-0,010	0,00
-0,010	0,00
-0,010	0,00
-0,009	0,00
-0,009	0,00
-0,008	0,00
-0,006	0,00
-0,005	0,00
-0,004	0,00
-0,003	0,00
-0,001	0,01
0,001	0,01
0,002	0,01
0,004	0,01
0,005	0,01
0,007	0,01
0,009	0,01
0,011	0,01
0,012	0,02
0,014	0,02
0,016	0,02
0,018	0,02
0,020	0,02
0,022	0,03
0,025	0,03
0,027	0,03
0,029	0,03
0,031	0,03
0,034	0,04
0,036	0,04
0,038	0,04
0,040	0,04
0,042	0,05
0,045	0,05
0,047	0,05
0,050	0,05
0,052	0,06
0,054	0,06
0,057	0,06
0,059	0,06
0,061	0,07
0,064	0,07
0,066	0,07
0,068	0,08
0,071	0,08
0,074	0,08
0,076	0,08
0,078	0,09
0,081	0,09
0,083	0,09
0,086	0,10
0,088	0,10
0,091	0,10
0,093	0,11
0,096	0,11
0,098	0,11
0,101	0,12
0,103	0,12
0,106	0,12
0,108	0,13
0,111	0,13
0,113	0,14
0,116	0,14
0,118	0,14
0,121	0,15
0,123	0,15
0,126	0,15
0,128	0,16
0,130	0,16
0,134	0,17
0,136	0,17
0,139	0,17
0,142	0,18
0,144	0,18
0,147	0,19
0,149	0,19
0,152	0,19
0,155	0,20
0,157	0,20
0,160	0,21
0,162	0,21
0,165	0,22
0,168	0,22
0,171	0,22
0,173	0,23
0,176	0,23
0,178	0,24
0,181	0,24
0,184	0,25
0,187	0,25
0,190	0,26
0,192	0,26
0,195	0,27
0,198	0,27
0,201	0,27
0,203	0,28
0,206	0,28
0,209	0,29
0,212	0,29
0,215	0,30
0,217	0,30
0,220	0,31
0,223	0,31
0,226	0,32
0,229	0,32
0,232	0,33
0,235	0,33
0,238	0,34
0,240	0,34
0,243	0,35
0,246	0,35
0,249	0,36
0,252	0,36
0,255	0,37
0,258	0,37
0,261	0,38
0,264	0,38
0,267	0,39
0,270	0,39
0,273	0,40
0,277	0,40
0,280	0,41
0,283	0,41
0,286	0,42
0,289	0,42
0,293	0,43
0,296	0,44
0,299	0,44
0,302	0,45
0,306	0,45
0,309	0,46
0,312	0,46
0,316	0,47
0,319	0,47
0,322	0,48
0,325	0,48
0,329	0,49
0,332	0,49
0,335	0,50
0,339	0,50
0,342	0,51
0,346	0,51
0,349	0,52
0,353	0,52
0,357	0,53
0,360	0,54
0,364	0,54
0,367	0,55
0,371	0,55
0,375	0,56
0,378	0,56
0,382	0,57
0,386	0,57
0,390	0,58
0,394	0,58
0,398	0,59
0,401	0,59
0,405	0,60
0,409	0,60
0,413	0,61
0,417	0,61
0,421	0,62
0,425	0,62
0,429	0,63
0,432	0,63
0,436	0,64
0,440	0,64
0,444	0,65
0,448	0,65
0,452	0,65
0,457	0,66
0,461	0,66
0,465	0,67
0,469	0,67
0,473	0,68
0,477	0,68
0,482	0,69
0,486	0,69
0,490	0,69
0,494	0,70
0,499	0,70
0,503	0,71
0,507	0,71
0,511	0,72
0,516	0,72
0,520	0,72
0,525	0,73
0,529	0,73
0,533	0,74
0,538	0,74
0,542	0,74
0,547	0,75
0,551	0,75
0,555	0,75
0,560	0,76
0,565	0,76
0,569	0,76
0,573	0,77
0,578	0,77
0,582	0,77
0,587	0,78
0,591	0,78
0,595	0,78
0,600	0,79
0,604	0,79
0,609	0,79
0,613	0,80
0,617	0,80
0,622	0,80
0,626	0,80
0,630	0,81
0,635	0,81
0,639	0,81
0,644	0,82
0,648	0,82
0,653	0,82
0,657	0,82
0,661	0,83
0,665	0,83
0,670	0,83
0,674	0,83
0,678	0,83
0,682	0,84
0,686	0,84
0,690	0,84
0,694	0,84
0,699	0,84
0,703	0,85
0,707	0,85
0,711	0,85
0,715	0,85
0,719	0,85
0,723	0,86
0,727	0,86
0,731	0,86
0,735	0,86
0,739	0,86
0,742	0,87
0,746	0,87
0,750	0,87
0,754	0,87
0,758	0,87
0,762	0,87
0,765	0,87
0,769	0,88
0,773	0,88
0,777	0,88
0,780	0,88
0,784	0,88
0,787	0,88
0,791	0,89
0,795	0,89
0,798	0,89
0,800	0,89
0,802	0,89
0,802	0,89
0,803	0,89
0,804	0,89
0,803	0,89
0,802	0,89
0,800	0,89
0,798	0,89
0,796	0,89
0,794	0,89
0,791	0,89
0,788	0,89
0,786	0,89
0,783	0,89
0,780	0,89
0,777	0,89
0,774	0,89
0,771	0,89
0,767	0,89
0,765	0,89
0,761	0,89
0,758	0,88
0,755	0,88
0,752	0,88
0,749	0,88
0,746	0,88
0,743	0,88
0,740	0,88
0,737	0,88
0,733	0,88
0,730	0,88
0,727	0,88
0,724	0,88
0,721	0,88
0,718	0,88
0,714	0,88
0,711	0,88
0,708	0,88
0,705	0,88
0,702	0,88
0,698	0,87
0,695	0,87
0,692	0,87
0,689	0,87
0,686	0,87
0,683	0,87
0,679	0,87
0,676	0,87
0,673	0,87
0,670	0,87
0,667	0,87
0,664	0,87
0,661	0,87
0,658	0,87
0,654	0,87
0,651	0,86
0,648	0,86
0,645	0,86
0,642	0,86
0,638	0,86
0,635	0,86
0,632	0,86
0,629	0,86
0,626	0,86
0,622	0,86
0,619	0,86
0,616	0,86
0,613	0,86
0,610	0,85
0,607	0,85
0,603	0,85
0,600	0,85
0,597	0,85
0,594	0,85
0,591	0,85
0,588	0,85
0,585	0,85
0,582	0,85
0,578	0,85
0,575	0,84
0,572	0,84
0,569	0,84
0,566	0,84
0,563	0,84
0,560	0,84
0,557	0,84
0,553	0,84
0,551	0,84
0,547	0,83
0,545	0,83
0,542	0,83
0,539	0,83
0,535	0,83
0,532	0,83
0,530	0,83
0,527	0,83
0,523	0,83
0,521	0,82
0,517	0,82
0,515	0,82
0,511	0,82
0,508	0,82
0,505	0,82
0,502	0,82
0,499	0,81
0,496	0,81
0,493	0,81
0,491	0,81
0,487	0,81
0,485	0,81
0,482	0,81
0,479	0,80
0,476	0,80
0,473	0,80
0,470	0,80
0,467	0,80
0,464	0,80
0,461	0,80
0,458	0,79
0,455	0,79
0,453	0,79
0,449	0,79
0,447	0,79
0,444	0,78
0,441	0,78
0,438	0,78
0,435	0,78
0,432	0,78
0,430	0,78
0,427	0,77
0,424	0,77
0,421	0,77
0,418	0,77
0,415	0,77
0,413	0,76
0,410	0,76
0,407	0,76
0,404	0,76
0,402	0,76
0,399	0,75
0,396	0,75
0,393	0,75
0,391	0,75
0,388	0,74
0,385	0,74
0,382	0,74
0,380	0,74
0,377	0,73
0,374	0,73
0,371	0,73
0,369	0,73
0,366	0,72
0,363	0,72
0,361	0,72
0,358	0,72
0,355	0,71
0,352	0,71
0,350	0,71
0,347	0,70
0,344	0,70
0,341	0,70
0,339	0,70
0,336	0,69
0,334	0,69
0,331	0,69
0,328	0,68
0,325	0,68
0,323	0,68
0,320	0,68
0,318	0,67
0,315	0,67
0,312	0,67
0,310	0,66
0,307	0,66
0,305	0,66
0,302	0,65
0,299	0,65
0,297	0,65
0,294	0,64
0,291	0,64
0,289	0,64
0,286	0,63
0,283	0,63
0,281	0,63
0,278	0,62
0,276	0,62
0,273	0,61
0,271	0,61
0,268	0,61
0,265	0,60
0,262	0,60
0,260	0,60
0,257	0,59
0,255	0,59
0,252	0,58
0,249	0,58
0,247	0,58
0,244	0,57
0,241	0,57
0,239	0,56
0,236	0,56
0,233	0,56
0,231	0,55
0,228	0,55
0,225	0,54
0,223	0,54
0,220	0,53
0,217	0,53
0,215	0,53
0,212	0,52
0,209	0,52
0,207	0,51
0,204	0,51
0,202	0,50
0,199	0,50
0,196	0,49
0,193	0,49
0,190	0,49
0,188	0,48
0,185	0,48
0,182	0,47
0,180	0,47
0,177	0,46
0,174	0,46
0,172	0,45
0,169	0,45
0,166	0,44
0,164	0,44
0,161	0,43
0,158	0,43
0,155	0,42
0,152	0,42
0,150	0,41
0,147	0,41
0,144	0,40
0,141	0,40
0,139	0,39
0,136	0,39
0,133	0,38
0,130	0,38
0,127	0,37
0,124	0,37
0,121	0,36
0,119	0,35
0,116	0,35
0,113	0,34
0,110	0,34
0,107	0,33
0,105	0,33
0,101	0,32
0,098	0,32
0,096	0,31
0,093	0,31
0,090	0,30
0,087	0,29
0,084	0,29
0,081	0,28
0,078	0,28
0,075	0,27
0,073	0,27
0,070	0,26
0,067	0,25
0,064	0,25
0,061	0,24
0,058	0,24
0,055	0,23
0,052	0,22
0,049	0,22
0,046	0,21
0,043	0,21
0,040	0,20
0,037	0,20
0,034	0,19
0,031	0,18
0,028	0,18
0,025	0,17
0,022	0,17
0,019	0,16
0,016	0,15
0,013	0,15
0,009	0,14
0,006	0,14
0,003	0,13
-0,001	0,12
-0,004	0,12
-0,006	0,11
-0,010	0,10
-0,013	0,10
-0,016	0,09
-0,019	0,09
-0,022	0,08
-0,026	0,07
-0,029	0,07
-0,032	0,06
-0,035	0,06
-0,038	0,05
-0,042	0,04
-0,045	0,04
-0,048	0,03
-0,051	0,02
-0,054	0,02
-0,057	0,01
-0,061	0,01
-0,064	0,00
-0,067	-0,01
-0,070	-0,01
-0,074	-0,02
-0,077	-0,03
-0,080	-0,03
-0,083	-0,04
-0,086	-0,04
-0,090	-0,05
-0,093	-0,06
-0,096	-0,06
-0,099	-0,07
-0,103	-0,08
-0,106	-0,08
-0,109	-0,09
-0,112	-0,09
-0,116	-0,10
-0,119	-0,11
-0,122	-0,11
-0,125	-0,12
-0,129	-0,13
-0,132	-0,13
-0,135	-0,14
-0,139	-0,14
-0,142	-0,15
-0,145	-0,16
-0,149	-0,16
-0,152	-0,17
-0,155	-0,18
-0,158	-0,18
-0,162	-0,19
-0,165	-0,19
-0,168	-0,20
-0,172	-0,21
-0,175	-0,21
-0,178	-0,22
-0,182	-0,23
-0,185	-0,23
-0,188	-0,24
-0,192	-0,24
-0,195	-0,25
-0,198	-0,26
-0,202	-0,26
-0,205	-0,27
-0,209	-0,27
-0,212	-0,28
-0,215	-0,29
-0,219	-0,29
-0,222	-0,30
-0,226	-0,31
-0,229	-0,31
-0,232	-0,32
-0,236	-0,32
-0,239	-0,33
-0,243	-0,34
-0,246	-0,34
-0,249	-0,35
-0,253	-0,35
-0,257	-0,36
-0,260	-0,37
-0,264	-0,37
-0,267	-0,38
-0,271	-0,38
-0,274	-0,39
-0,278	-0,40
-0,281	-0,40
-0,285	-0,41
-0,288	-0,41
-0,292	-0,42
-0,296	-0,43
-0,299	-0,43
-0,303	-0,44
-0,306	-0,44
-0,310	-0,45
-0,314	-0,46
-0,317	-0,46
-0,321	-0,47
-0,325	-0,47
-0,328	-0,48
-0,332	-0,48
-0,336	-0,49
-0,339	-0,50
-0,343	-0,50
-0,347	-0,51
-0,351	-0,51
-0,354	-0,52
-0,358	-0,52
-0,362	-0,53
-0,366	-0,54
-0,370	-0,54
-0,373	-0,55
-0,377	-0,55
-0,381	-0,56
-0,385	-0,56
-0,389	-0,57
-0,393	-0,57
-0,397	-0,58
-0,401	-0,58
-0,405	-0,59
-0,409	-0,59
-0,413	-0,60
-0,417	-0,60
-0,421	-0,61
-0,425	-0,61
-0,429	-0,62
-0,433	-0,62
-0,437	-0,63
-0,441	-0,63
-0,445	-0,64
-0,449	-0,64
-0,453	-0,65
-0,457	-0,65
-0,461	-0,66
-0,465	-0,66
-0,469	-0,67
-0,474	-0,67
-0,478	-0,68
-0,482	-0,68
-0,486	-0,69
-0,491	-0,69
-0,495	-0,69
-0,499	-0,70
-0,503	-0,70
-0,508	-0,71
-0,512	-0,71
-0,517	-0,72
-0,521	-0,72
-0,526	-0,72
-0,530	-0,73
-0,534	-0,73
-0,539	-0,74
-0,543	-0,74
-0,548	-0,74
-0,552	-0,75
-0,557	-0,75
-0,561	-0,75
-0,566	-0,76
-0,570	-0,76
-0,575	-0,76
-0,579	-0,77
-0,584	-0,77
-0,589	-0,77
-0,593	-0,78
-0,598	-0,78
-0,602	-0,78
-0,607	-0,79
-0,611	-0,79
-0,616	-0,79
-0,620	-0,79
-0,625	-0,80
-0,629	-0,80
-0,634	-0,80
-0,638	-0,81
-0,643	-0,81
-0,647	-0,81
-0,652	-0,81
-0,656	-0,82
-0,661	-0,82
-0,665	-0,82
-0,670	-0,82
-0,674	-0,82
-0,679	-0,83
-0,683	-0,83
-0,687	-0,83
-0,692	-0,83
-0,696	-0,83
-0,700	-0,84
-0,704	-0,84
-0,709	-0,84
-0,713	-0,84
-0,717	-0,84
-0,721	-0,85
-0,726	-0,85
-0,730	-0,85
-0,734	-0,85
-0,738	-0,85
-0,742	-0,85
-0,746	-0,86
-0,750	-0,86
-0,754	-0,86
-0,758	-0,86
-0,762	-0,86
-0,766	-0,86
-0,770	-0,86
