t / s	U_B1 / V	Temp / K
0,0	0,829	282,3
0,5	0,828	282,2
1,0	0,827	281,9
1,5	0,827	281,6
2,0	0,826	281,3
2,5	0,826	281,1
3,0	0,825	280,8
3,5	0,824	280,7
4,0	0,823	280,4
4,5	0,823	280,1
5,0	0,822	279,8
5,5	0,822	279,5
6,0	0,820	279,2
6,5	0,820	278,9
7,0	0,819	278,6
7,5	0,818	278,3
8,0	0,818	278,0
8,5	0,817	277,5
9,0	0,816	277,2
9,5	0,816	276,9
10,0	0,815	276,6
10,5	0,814	276,3
11,0	0,813	275,9
11,5	0,813	275,6
12,0	0,811	275,3
12,5	0,811	274,8
13,0	0,810	274,5
13,5	0,809	274,1
14,0	0,808	273,8
14,5	0,808	273,3
15,0	0,807	273,0
15,5	0,806	272,7
16,0	0,805	272,4
16,5	0,804	272,0
17,0	0,803	271,7
17,5	0,803	271,2
18,0	0,802	270,8
18,5	0,801	270,5
19,0	0,800	270,0
19,5	0,799	269,6
20,0	0,799	269,3
20,5	0,798	268,8
21,0	0,797	268,4
21,5	0,796	268,1
22,0	0,795	267,6
22,5	0,794	267,2
23,0	0,793	266,7
23,5	0,792	266,3
24,0	0,792	266,0
24,5	0,791	265,5
25,0	0,790	265,1
25,5	0,789	264,6
26,0	0,788	264,3
26,5	0,787	263,9
27,0	0,786	263,4
27,5	0,785	263,0
28,0	0,785	262,5
28,5	0,784	262,2
29,0	0,782	261,8
29,5	0,782	261,3
30,0	0,781	260,9
30,5	0,780	260,4
31,0	0,779	260,0
31,5	0,778	259,5
32,0	0,777	259,1
32,5	0,777	258,8
33,0	0,775	258,3
33,5	0,775	257,9
34,0	0,774	257,4
34,5	0,773	257,0
35,0	0,772	256,5
35,5	0,771	256,1
36,0	0,770	255,6
36,5	0,769	255,2
37,0	0,768	254,9
37,5	0,768	254,4
38,0	0,767	254,0
38,5	0,766	253,5
39,0	0,765	253,1
39,5	0,764	252,6
40,0	0,763	252,2
40,5	0,762	251,7
41,0	0,761	251,3
41,5	0,761	250,8
42,0	0,760	250,4
42,5	0,759	250,1
43,0	0,758	249,6
43,5	0,757	249,2
44,0	0,756	248,7
44,5	0,755	248,3
45,0	0,754	247,8
45,5	0,754	247,4
46,0	0,753	246,9
46,5	0,752	246,5
47,0	0,751	246,0
47,5	0,750	245,6
48,0	0,749	245,1
48,5	0,748	244,7
49,0	0,748	244,2
49,5	0,747	243,8
50,0	0,746	243,3
50,5	0,745	242,9
51,0	0,744	242,4
51,5	0,743	242,0
52,0	0,743	241,5
52,5	0,742	241,2
53,0	0,741	240,6
53,5	0,740	240,2
54,0	0,739	239,7
54,5	0,738	239,4
55,0	0,737	238,8
55,5	0,736	238,5
56,0	0,735	238,1
56,5	0,734	237,5
57,0	0,733	237,2
57,5	0,733	236,7
58,0	0,732	236,3
58,5	0,731	235,8
59,0	0,730	235,4
59,5	0,729	234,9
60,0	0,729	234,5
60,5	0,728	234,0
61,0	0,727	233,6
61,5	0,726	233,1
62,0	0,725	232,7
62,5	0,724	232,2
63,0	0,724	231,8
63,5	0,723	231,3
64,0	0,721	230,9
64,5	0,721	230,4
65,0	0,720	230,0
65,5	0,719	229,5
66,0	0,718	229,1
66,5	0,718	228,6
67,0	0,717	228,2
67,5	0,716	227,7
68,0	0,715	227,3
68,5	0,714	226,8
69,0	0,713	226,4
69,5	0,712	225,9
70,0	0,712	225,5
70,5	0,711	225,0
71,0	0,710	224,6
71,5	0,709	224,1
72,0	0,708	223,7
72,5	0,708	223,4
73,0	0,707	222,9
73,5	0,706	222,5
74,0	0,705	222,0
74,5	0,704	221,6
75,0	0,703	221,1
75,5	0,702	220,7
76,0	0,702	220,2
76,5	0,701	219,8
77,0	0,700	219,3
77,5	0,699	218,9
78,0	0,698	218,4
78,5	0,697	218,0
79,0	0,697	217,5
79,5	0,696	217,1
80,0	0,695	216,6
80,5	0,694	216,2
81,0	0,694	215,7
81,5	0,693	215,3
82,0	0,692	214,8
82,5	0,691	214,4
83,0	0,690	213,9
83,5	0,690	213,5
84,0	0,688	213,0
84,5	0,688	212,6
85,0	0,687	212,3
85,5	0,686	211,8
86,0	0,685	211,4
86,5	0,684	210,9
87,0	0,683	210,5
87,5	0,683	210,0
88,0	0,682	209,6
88,5	0,681	209,1
89,0	0,680	208,7
